Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Los Angeles Rams,1,D,4700,LAR,@NYG,19.3,LAR by 9.5,1.6,0.4,0.6,285,96,20.6,5.8,3.0,5.0,5.0,1.1,8.9,9.0,1.9,16.0,3.4
Denver Broncos,3,D,3900,DEN,LV,20.3,DEN by 3.5,3.0,0.0,0.8,298,79,22.2,6.4,8.3,8.4,8.4,1.9,14.9,8.0,2.1,1.0,0.3
Tampa Bay Buccaneers,,D,3700,TB,@PHI,22.8,TB by 7,2.0,0.2,0.6,256,116,21.8,6.2,5.7,7.6,7.6,0.2,15.0,8.0,2.2,4.0,1.1
Green Bay Packers,2,D,3600,GB,@CHI,20.0,GB by 4.5,3.6,0.2,0.6,113,127,15.6,7.2,7.0,4.6,4.6,-0.2,9.4,8.5,2.4,7.0,1.9
Indianapolis Colts,8,D,3500,IND,HOU,16.5,IND by 10,2.4,0.6,1.0,203,80,17.8,7.6,6.0,6.6,6.6,3.4,9.8,11.2,3.2,15.0,4.3
Cincinnati Bengals,0,D,3400,CIN,@DET,22.0,CIN by 3.5,2.8,0.8,0.6,236,103,19.6,7.4,5.7,5.6,5.6,1.6,9.6,7.5,2.2,7.0,2.1
Pittsburgh Steelers,4,D,3400,PIT,SEA,18.8,PIT by 5,2.6,0.2,0.4,247,104,24.0,3.6,4.0,5.6,5.6,0.7,10.5,8.7,2.6,8.0,2.4
Miami Dolphins,2,D,3300,MIA,@JAX,22.0,MIA by 3,1.6,0.6,1.6,219,129,18.6,9.6,4.0,3.8,3.8,-0.8,8.4,8.1,2.5,4.0,1.2
Dallas Cowboys,3,D,3200,DAL,@NE,24.0,DAL by 3.5,2.2,0.8,1.0,240,80,19.2,8.6,10.7,9.2,9.2,6.5,11.9,7.8,2.4,13.0,4.1
Las Vegas Raiders,,D,3100,LV,@DEN,23.8,DEN by 3.5,2.8,0.4,0.4,239,119,20.4,6.6,2.7,4.0,4.0,1.8,6.2,5.9,1.9,13.0,4.2
Chicago Bears,,D,3000,CHI,GB,24.5,GB by 4.5,2.2,0.4,0.6,247,101,24.0,4.6,7.7,8.4,8.4,1.4,15.4,5.6,1.9,3.0,1.0
New England Patriots,,D,3000,NE,DAL,27.5,DAL by 3.5,1.8,0.4,0.6,267,173,31.6,2.6,3.7,7.0,7.0,0.2,13.8,5.1,1.7,3.0,1.0
Minnesota Vikings,2,D,2900,MIN,@CAR,22.5,MIN by 1,2.8,0.2,1.2,256,108,22.6,6.6,5.3,6.6,6.6,2.8,10.4,7.6,2.6,9.0,3.1
Carolina Panthers,0,D,2900,CAR,MIN,23.5,MIN by 1,1.8,0.4,0.4,269,114,21.4,4.2,4.0,6.6,6.6,0.5,12.7,6.6,2.3,9.0,3.1
Buffalo Bills,2,D,2900,BUF,@TEN,24.3,BUF by 5.5,4.0,0.8,0.6,221,168,25.2,7.2,15.7,14.2,14.2,4.9,23.5,7.9,2.7,1.0,0.3
Kansas City Chiefs,,D,2800,KC,@WAS,24.5,KC by 6.5,1.2,0.4,1.0,239,109,24.6,3.8,0.3,2.6,2.6,-0.8,6.0,6.4,2.3,8.0,2.9
Arizona Cardinals,1,D,2700,ARI,@CLE,26.3,CLE by 3,2.6,0.4,0.4,230,188,28.4,3.2,10.3,9.6,9.6,2.4,16.8,6.6,2.4,12.0,4.4
Cleveland Browns,2,D,2600,CLE,ARI,23.3,CLE by 3,2.0,0.2,0.8,285,128,30.2,4.8,8.0,6.0,6.0,-0.4,12.4,6.7,2.6,-2.0,-0.8
Seattle Seahawks,0,D,2600,SEA,@PIT,23.8,PIT by 5,2.2,0.4,0.8,246,74,18.8,5.8,3.0,3.8,3.8,1.3,6.3,5.5,2.1,3.0,1.2
Los Angeles Chargers,,D,2500,LAC,@BAL,27.0,BAL by 2.5,2.6,0.6,0.6,292,149,27.2,5.4,4.7,4.6,4.6,-0.2,9.4,5.2,2.1,6.0,2.4
New York Giants,,D,2400,NYG,LAR,28.8,LAR by 9.5,0.8,0.4,0.6,310,98,28.2,3.8,3.3,3.2,3.2,1.4,5.0,4.3,1.8,2.0,0.8
Baltimore Ravens,3,D,2300,BAL,LAC,24.5,BAL by 2.5,1.8,0.4,0.6,303,108,28.4,3.0,6.7,6.6,6.6,3.2,10.0,6.6,2.9,11.0,4.8
Philadelphia Eagles,,D,2300,PHI,TB,29.8,TB by 7,1.8,0.6,0.4,349,82,31.0,2.2,6.3,6.0,6.0,0.3,11.7,4.3,1.9,1.0,0.4
Houston Texans,,D,2200,HOU,@IND,26.5,IND by 10,2.4,0.6,0.4,249,114,20.4,5.4,2.3,3.8,3.8,0.8,6.8,4.8,2.2,1.0,0.5
Jacksonville Jaguars,0,D,2200,JAX,MIA,25.0,MIA by 3,3.2,1.0,0.6,191,70,14.6,9.4,3.7,3.4,3.4,-1.6,8.4,6.0,2.7,3.0,1.4
Detroit Lions,2,D,2100,DET,CIN,25.5,CIN by 3.5,2.6,0.2,1.2,235,99,22.8,6.8,5.7,3.4,3.4,-0.2,7.0,5.9,2.8,3.0,1.4
Tennessee Titans,,D,2100,TEN,BUF,29.8,BUF by 5.5,1.0,0.4,0.4,270,140,33.2,1.8,6.3,4.2,4.2,-0.9,9.3,4.1,2.0,4.0,1.9
Washington Football Team,,D,2000,WAS,KC,31.0,KC by 6.5,1.4,1.0,1.2,292,128,29.6,7.2,2.3,3.4,3.4,-1.0,7.8,4.4,2.2,8.0,4.0
